,FuzzyPatternClassifier,FuzzyPatternClassifierGA,FuzzyPatternClassifierGA_std,FuzzyPatternClassifier_std,FuzzyPatternTreeClassifier,FuzzyPatternTreeClassifier_std,FuzzyPatternTreeTopDownClassifier,FuzzyPatternTreeTopDownClassifier_std,FuzzyReductionRuleClassifier,FuzzyReductionRuleClassifier_std,MultimodalEvolutionaryClassifier,MultimodalEvolutionaryClassifier_std,NSFS_KBF,NSFS_KBF_std,NSFS_KBF_symmetric,NSFS_KBF_symmetric_std,NSFS_NS,NSFS_NS_std,dimension,knn,knn_std,svmRBF,svmRBF_std
0,0.8,0.76,0.07999999999999996,0.0,0.9199999999999999,0.08000000000000002,0.9199999999999999,0.08000000000000002,0.9,0.020000000000000018,0.8200000000000001,0.06,0.74,0.1854723699099141,0.9,0.10954451150103324,0.8400000000000001,0.1854723699099141,2,0.9200000000000002,0.0748331477354788,0.5599999999999999,0.07999999999999999
1,0.72,0.46,0.06,0.03999999999999998,0.76,0.0,0.8400000000000001,0.03999999999999998,0.6799999999999999,0.03999999999999998,0.5800000000000001,0.019999999999999962,0.4600000000000001,0.19595917942265426,0.4600000000000001,0.19595917942265426,0.43999999999999995,0.3006659275674582,3,0.78,0.11661903789690603,0.5399999999999999,0.20591260281974003
2,0.66,0.4,0.04000000000000001,0.14,0.68,0.0,0.74,0.09999999999999998,0.6599999999999999,0.06,0.54,0.020000000000000018,0.54,0.07999999999999999,0.6399999999999999,0.16248076809271922,0.58,0.132664991614216,4,0.8,0.14142135623730953,0.62,0.09797958971132714
