,dimension,NSFS,NSFS_den,SVM_NS,gamma,std_proportion,nro_sv,SVM_KBF,gamma_KBF,std_proportion_KBF,nro_sv_KBF,svmRBF,knn,FuzzyPatternClassifier,MultimodalEvolutionaryClassifier,FuzzyPatternTreeTopDownClassifier
0,2,0.548,0.548,0.956,3.814697265625e-06,0.21000000000000002,[27 28],0.94,3.814697265625e-06,0.21000000000000002,[74 75],0.98,0.972,0.932,0.94,0.928
1,3,0.492,0.492,0.924,0.0625,0.91,[30 31],0.852,0.0625,0.91,[124 126],0.92,0.9,0.816,0.86,0.864
2,4,0.504,0.504,0.968,0.00390625,0.11,[14 14],0.96,0.00390625,0.11,[125 125],0.988,0.972,0.896,0.9,0.876
3,5,0.872,0.952,0.96,0.25,0.51,[42 49],0.96,0.25,0.51,[ 90 110],0.972,0.948,0.928,0.92,0.94
4,6,0.936,0.936,0.932,0.125,0.31000000000000005,[85 98],0.572,0.125,0.31000000000000005,[115 117],0.916,0.936,0.756,0.7,0.74
5,7,0.516,0.516,0.876,0.0078125,0.81,[44 45],0.748,0.0078125,0.81,[74 71],0.864,0.892,0.768,0.744,0.784
6,8,0.516,0.516,0.912,0.015625,1.51,[35 31],0.484,0.015625,1.51,[121 121],0.92,0.888,0.772,0.788,0.768
7,9,0.488,0.488,0.844,0.125,1.2100000000000002,[52 52],0.828,0.125,1.2100000000000002,[124 126],0.796,0.832,0.688,0.636,0.668
8,10,0.62,0.748,0.896,0.5,1.81,[78 65],0.768,0.5,1.81,[121 120],0.876,0.848,0.66,0.68,0.724
9,11,0.46,0.46,0.904,0.00390625,0.6100000000000001,[41 47],0.86,0.00390625,0.6100000000000001,[ 93 109],0.46,0.872,0.544,0.616,0.62
10,12,0.516,0.536,0.872,1.52587890625e-05,0.01,[115 111],0.896,1.52587890625e-05,0.01,[123 127],0.88,0.888,0.708,0.708,0.752
11,13,0.94,0.94,0.94,0.25,1.01,[115 116],0.892,0.25,1.01,[94 98],0.924,0.924,0.816,0.824,0.796
12,14,0.536,0.54,0.912,0.125,1.4100000000000001,[71 62],0.488,0.125,1.4100000000000001,[73 69],0.896,0.884,0.704,0.692,0.732
13,15,0.556,0.6,0.908,0.015625,0.51,[72 72],0.904,0.015625,0.51,[114 136],0.784,0.888,0.732,0.716,0.692
14,16,0.884,0.884,0.884,0.25,1.2100000000000002,[122 124],0.844,0.25,1.2100000000000002,[125 125],0.86,0.868,0.756,0.732,0.708
15,17,0.464,0.464,0.844,0.0009765625,2.41,[82 85],0.88,0.0009765625,2.41,[105 114],0.908,0.9,0.736,0.764,0.712
16,18,0.912,0.916,0.932,0.03125,0.6100000000000001,[118 112],0.824,0.03125,0.6100000000000001,[53 50],0.9,0.9,0.752,0.724,0.7
17,19,0.524,0.524,0.88,0.125,2.51,[65 66],0.892,0.125,2.51,[120 130],0.712,0.864,0.628,0.672,0.636
18,20,0.456,0.456,0.84,0.0625,1.9100000000000001,[105  97],0.904,0.0625,1.9100000000000001,[135 115],0.92,0.872,0.66,0.68,0.7
19,21,0.904,0.904,0.908,0.015625,0.41000000000000003,[122 127],0.884,0.015625,0.41000000000000003,[122 127],0.888,0.884,0.716,0.74,0.652
20,22,0.492,0.492,0.892,0.03125,1.11,[79 88],0.912,0.03125,1.11,[120 130],0.896,0.892,0.744,0.736,0.664
21,23,0.54,0.54,0.924,0.0625,2.21,[76 67],0.804,0.0625,2.21,[94 91],0.924,0.904,0.736,0.752,0.652
22,24,0.82,0.836,0.932,0.0078125,0.41000000000000003,[111 126],0.892,0.0078125,0.41000000000000003,[83 70],0.92,0.884,0.748,0.736,0.672
23,25,0.504,0.504,0.924,1.9073486328125e-06,0.31000000000000005,[52 54],0.948,1.9073486328125e-06,0.31000000000000005,[122 127],0.94,0.964,0.76,0.828,0.776
24,26,0.476,0.476,0.872,0.0078125,1.11,[67 58],0.872,0.0078125,1.11,[119 131],0.892,0.9,0.68,0.704,0.696
