,dimension,NSFS_NS,NSFS_NS_std,NSFS_KBF,NSFS_KBF_std,NSFS_KBF_symmetric,NSFS_KBF_symmetric_std,svmRBF,svmRBF_std,knn,knn_std,FuzzyPatternClassifier,FuzzyPatternClassifier_std,MultimodalEvolutionaryClassifier,MultimodalEvolutionaryClassifier_std,FuzzyPatternTreeTopDownClassifier,FuzzyPatternTreeTopDownClassifier_std,FuzzyReductionRuleClassifier,FuzzyReductionRuleClassifier_std,FuzzyPatternClassifierGA,FuzzyPatternClassifierGA_std,FuzzyPatternTreeClassifier,FuzzyPatternTreeClassifier_std
0,2,0.9199999999999999,0.07483314773547882,0.9400000000000001,0.04898979485566354,0.9199999999999999,0.0748331477354788,0.9199999999999999,0.07483314773547882,0.9400000000000001,0.04898979485566354,0.8590686274509803,0.058233354757434914,0.8602941176470589,0.12052245934455143,0.9387254901960785,0.05106045749019524,0.9387254901960785,0.05106045749019524,0.8590686274509803,0.10154574747973824,0.9387254901960785,0.05106045749019524
1,3,0.9,0.10954451150103324,0.9399999999999998,0.04898979485566355,0.9,0.08944271909999157,0.78,0.21354156504062624,0.8800000000000001,0.11661903789690602,0.7757352941176471,0.15078012245889613,0.9007352941176471,0.05461343126264019,0.9019607843137255,0.09998077477632913,0.8198529411764706,0.048309812118693694,0.8382352941176471,0.07873714904024025,0.7218137254901961,0.0684740933563676
2,4,0.86,0.12000000000000001,0.8400000000000001,0.10198039027185571,0.82,0.03999999999999999,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.08000000000000002,0.7990196078431372,0.14819820056697033,0.7598039215686274,0.04852693596378264,0.8370098039215685,0.10841260075782584,0.7598039215686274,0.0069324194233975,0.6617647058823529,0.06685383184796988,0.738970588235294,0.10272210583184252
3,5,0.8800000000000001,0.039999999999999994,0.9,0.06324555320336757,0.8400000000000001,0.08000000000000002,0.66,0.32,0.9,0.06324555320336757,0.7181372549019608,0.1164667095148698,0.8186274509803922,0.1295082824864991,0.8590686274509803,0.058233354757434914,0.8774509803921569,0.09012145250416781,0.49754901960784315,0.08992125650903991,0.7205882352941176,0.09828400811648734
